Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",LEGA SALVINI PREMIER,9.175.208,""34,26"",29",,,,,2019
",PARTITO DEMOCRATICO,6.089.853,""22,74"",19",,,,,2019
",MOVIMENTO 5 STELLE,4.569.089,""17,06"",14",,,,,2019
",FORZA ITALIA,2.351.673,""8,78"",7",,,,,2019
",FRATELLI D'ITALIA,1.726.189,""6,44"",6",,,,,2019
",+EUROPA - ITALIA IN COMUNE - PDE ITALIA,833.443,""3,11"",",,,,,2019
",EUROPA VERDE,621.492,""2,32"",",,,,,2019
",LA SINISTRA,469.943,""1,75"",",,,,,2019
",PARTITO COMUNISTA,235.542,""0,88"",",,,,,2019
",PARTITO ANIMALISTA,160.270,""0,60"",",,,,,2019
",SVP,142.185,""0,53"",1",,,,,2019
",POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,114.531,""0,43"",",,,,,2019
",CASAPOUND ITALIA - DESTRE UNITE,89.142,""0,33"",",,,,,2019
",POPOLARI PER L'ITALIA,80.553,""0,30"",",,,,,2019
",PARTITO PIRATA,60.809,""0,23"",",,,,,2019
",FORZA NUOVA,41.077,""0,15"",",,,,,2019
",AUTONOMIE PER L'EUROPA,17.692,""0,07"",",,,,,2019
",PPA MOVIMENTO POLITICO PENSIERO AZIONE,5.041,""0,02"",",,,,,2019
